text,label,paraphrased_text
"clear lake methanol - - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 02 / 14 / 2000 09 : 43 am - - - - - - - - - - - - - - - - - - - - - - - - - - - groetzingerp @ valero . com on 02 / 11 / 2000 04 : 08 : 47 pm to : gary w lamphier / hou / ect @ ect cc : subject : clear lake methanol our people tell me that the t / a is going as planned and clmp plans to begin start up on sunday . since it is a cold startup , it could take as long as a week to get to full rates . in any event , clmp plans to begin pulling gas at reduced rates late sunday or so .",0,"Our team has been informed that the transaction at Clear Lake Methanol is progressing as anticipated. According to the latest information, CLMP intends to initiate the start-up process on Sunday. Please note that, due to the cold start-up, it may take up to a week to reach full production rates. However, CLMP plans to begin extracting gas at reduced rates by Sunday or late Sunday evening."
"Craig R.Hughes wrote: &gt;  &gt; On Thursday, August 8, 2002, at 11:15  AM, Mika Hirvonen wrote: &gt;  &gt;&gt; I do not know the algorithms used to calculate confidence values, but it &gt;&gt; probably penalizes heavily when someone revokes spam that everyone else &gt;&gt; considers as spam. Or at least it should. &gt;  &gt;  &gt; The problem with that is that invariably, there are &quot;gray&quot; mails.  Some  &gt; people will vote &quot;spam&quot;, others will vote &quot;nonspam&quot; -- under your  &gt; proposed system, anyone who ever calls &quot;gray&quot; mail nonspam will have a  &gt; shitty trust score.  And once you have a shitty trust score, your own  &gt; submissions won&#x27;t even be used to flag your own spam as spam.  That&#x27;s  &gt; bound to confuse a lot of people.  &quot;But I just marked that exact message  &gt; as spam.  Why is it not being considered spam?  I&#x27;m an honest submitter.&quot;I assume that how much the trust goes down depends of the proportion of  report vs revoke. If everybody except one says that a mail is spam, the  one guy will see his trust go down dramatically. If you are with the  majority, your trust goes up. If you are against the majority, your  trust goes down. If people 50-50, whatever you vote, your neither  against the majority nor with it, so your trust won&#x27;t change. So your &quot;gray&quot; mail won&#x27;t have much influence on your trust (neither good nor  bad, just... gray)------------------------------------------------------- This sf.net email is sponsored by:ThinkGeek Welcome to geek heaven. http://thinkgeek.com/sf _______________________________________________ Razor-users mailing list Razor-users@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/razor-users ",0,"
As you consider the algorithms used to calculate confidence values, I believe it's crucial to recognize that revoking spam that everyone else considers as spam will likely incur a significant penalty. This may seem counterintuitive, as revoking spam would seem to indicate a more accurate assessment. However, the system may view this as an indication of a misaligned perspective, leading to a decrease in trust.

The issue arises when there are ""gray"" mails, where some people vote ""spam"" while others vote ""nonspam."" Under the proposed system, anyone who consistently votes ""gray"" mail as nonspam will likely accumulate a poor trust score. This could lead to an unfortunate scenario where even their own submissions are no longer considered in flagging their own spam. The confusion and frustration this might cause could be significant, with users asking, ""But I just marked that exact message as spam. Why is it not being considered spam? I'm an honest submitter.""

The degree to which trust is affected seems to depend on the proportion of reports versus revokes. If everyone except one person classifies a mail as spam, the lone dissenter will see a significant decrease in trust. Conversely, if you're part of the majority, your trust will increase. If there's a"
"c . t . james huang , syntax syntax huang , c . t . james ; logical relations in chinese and the theory of grammar ; 0-8153 - 3136 - 3 , cloth ; pages , $ 89 ; garland publishing ; outstanding dissertations in linguistics this classic study in theoretical and chinese syntax has proven influential in recent developments of syntactic theory in areas as diverse as phrase structure , quantifier scope , anaphora , movement constraints , the form and meaning of interrogative sentences , and the nature of logical form . huang gives a detailed analysis of a wide range of grammatical constructions in chinese ( and english ) and shows that his analyses shed important new light on the theory of universal grammar and linguistic typology , often in ways unavailable from the study of english and other familiar european languages . some of the results of this work are : ( a ) a parametric theory of quantifier scope ; ( b ) a relativized notion of a &#x27; governing category &#x27; for chomsky &#x27;s ( 1981 ) binding theory ; ( c ) a theory of generalized control that derives the pro drop parameter and related phenomena ; ( d ) a proposed condition on extraction domains ( ced ) on overt movement ; ( e ) a proposal of lf wh-movement for languages without wh-movement ; and ( f ) a generalizationof the ecp to account for a full range of adjunct / complement asymmetriesand subject / object asymmetries in syntactic and lf extraction . the proposed analyses exemplify how an optimal theory of typology should come about as the &#x27; by-product &#x27; of an optimal theory of ug . the author is professor of linguistics at the university of california , irvine . e - mail : info @ garland . com",0,"I am pleased to recommend ""Logical Relations in Chinese and the Theory of Grammar"" by C.T. James Huang, a seminal study in theoretical and Chinese syntax. This classic work has had a significant impact on recent developments in syntactic theory, exploring a wide range of topics such as phrase structure, quantifier scope, anaphora, movement constraints, and interrogative sentences. By analyzing a vast array of grammatical constructions in Chinese (and English), Huang sheds new light on the theory of universal grammar and linguistic typology, often revealing insights not readily apparent in the study of European languages.

Some of the notable findings include: a parametric theory of quantifier scope, a relativized notion of a ""governing category"" for Chomsky's Binding Theory, a theory of generalized control leading to the pro-drop parameter and related phenomena, a proposed condition on extraction domains (CED) for overt movement, and a proposal for LF wh-movement in languages without wh-movement. Additionally, Huang generalizes the ECP to account for subject/object asymmetries in syntactic and LF extraction.

As the author notes, the proposed analyses exemplify how an optimal theory"
"re : management committee offsite sorry , i need to know if you need a room for thursday - not wednesday . joannie - - - - - original message - - - - - from : williamson , joannie sent : friday , august 31 , 2001 5 : 12 pm to : tilney , elizabeth ; olson , cindy ; bowen jr . , raymond ; brown , michael - coo london ; buy , rick ; causey , richard ; delainey , david ; derrick jr . , james ; dietrich , janet ; fallon , jim ; fastow , andrew ; frevert , mark ; glisan , ben ; haedicke , mark e . ; horton , stanley ; kean , steven j . ; kitchen , louise ; koenig , mark ; lavorato , john ; lay , kenneth ; mcconnell , mike ; mcmahon , jeffrey ; shankman , jeffrey a . ; sherriff , john ; whalley , greg cc : schiller , marsha ; rapacioli , marisa ; westbrook , sharron ; chapman , kay ; marshall , lucy ; daw , nicki ; dauterive , inez ; elbertson , janette ; stark , cindy ; blackwood , connie ; mcvicker , maureen ; schoppe , tammie ; valencia , laura ; hillis , kimberly ; fleming , rosalee ; phillips , cathy ; ford , sue ; burns , jennifer ; taylor , liz m . ; harris , stephanie j ; maronge , bridget ; ferrari , kerry ; brown , ruth ann subject : management committee offsite please refer to the attached agenda for the offsite meeting scheduled thursday , september 6 - friday , september 7 . since all discussions will be informal , powerpoint presentations are not necessary . please let me know if you need a room for wednesday evening . &gt; the woodlands resort &amp; conference center 2301 n . millbend drive the woodlands , tx 77380 phone : 281 - 367 - 1100 fax : 281 - 364 - 6299 thanks , joannie 3 - 1879",0,"Dear All,

Please note that the offsite meeting has been rescheduled for Thursday, September 6, and Friday, September 7. As the discussions will be informal, PowerPoint presentations are not necessary. If you need a room for Thursday evening, please let me know.

Please refer to the attached agenda for further details. If you have any questions or concerns, feel free to reach out to me.

Thank you,
Joannie"
"sum master &#x27;s dissertation dear netters , about a week ago i asked for help in locating peter master &#x27;s dissertation : &quot; a cross-linguistic interlanguage analysis of the acquisition of the english article system &quot; , ( 1987 ) . i got immediate response and i &#x27;d like to thank you all . i &#x27; m now trying interlibrary loan ( or possibly getting it through umi ) . above is the correct , full title of the works . again , thanks to : jeff macswan jack hall richard epstein scott delancey marjorie parker bob williams lyn repath - martos catherine ball bruce spencer robert freel best regards , pia kohlmyr mrs pia kohlmyr ( phd student ) phone : int + 46 ( 0 ) 31 773 17 67 gothenburg university e - mail : pia . kohlmyr @ eng . gu . se department of english fax : int + 46 ( 0 ) 31 773 47 26 s-412 98 gothenburg sweden",0,"Dear colleagues,

I wanted to express my gratitude to those who helped me locate Peter Master's dissertation, ""A Cross-Linguistic Interlanguage Analysis of the Acquisition of the English Article System"" (1987). I received an immediate response, and I appreciate the effort. I'm now exploring options to access the dissertation through interlibrary loan or UMI.

The correct, full title of the dissertation is provided above. I would like to thank Jeff MacSwan, Jack Hall, Richard Epstein, Scott Delancey, Marjorie Parker, Bob Williams, Lyn RePath-Matos, Catherine Ball, Bruce Spencer, and Robert Freel for their assistance.

Best regards,
Pia Kohlmyr
Mrs. Pia Kohlmyr (PhD student)
Phone: +46 (0) 31 773 17 67
Department of English
Gothenburg University
E-mail: [pia.kohlmyr@eng.gu.se](mailto:pia.kohlmyr@eng.gu.se)
Fax: +46 (0) 31 773 47 26
S-412 98 Gothenburg, Sweden"
" Â Â  Dear                          Homeowner, Â  *6.25% 30 Yr Fixed Rate                          Mortgage Interest                          rates are at their lowest point in 40 years! We help you                          find the best rate for your situation by matching your                          needs with hundreds of lenders! Home Improvement,                          Refinance, Second Mortgage, Home Equity                          Loans, and More! Even with less than perfect credit!                          Click Here for a Free                          Quote!  Lock In YOUR LOW FIXED RATE TODAYaNO COST                            OUT OF POCKET aNO                            OBLIGATION aFREE                            CONSULTATION aALL                            CREDIT GRADES ACCEPTED  Rates as                          low as 6.25% won&#x27;t stay this low forever CLICK                          HERE Â  * based on                          mortgage rate as of 5-15-02 as low as 6.25% see lender                          for detailsÂ HApply now and one of our lending partners                                will get back to you within 48                                hours.CLICK                              HERE! remove http://www.cs220.com/mortgage/remove.html 562818141198765544433",1,"Dear Homeowner,

We're excited to inform you that 6.25% 30-year fixed rate mortgage interest rates have reached their lowest point in 40 years! At our company, we specialize in matching your unique situation with hundreds of lenders to find the best rate for you. Whether you're looking for a home improvement loan, mortgage refinance, second mortgage, or home equity loan, we can help. We also cater to borrowers with less-than-perfect credit.

Take advantage of this historic opportunity by locking in your low fixed rate today. You'll get:

* No out-of-pocket costs
* No obligation
* A free consultation
* All credit grades accepted

Don't miss this chance to secure a rate as low as 6.25%! According to recent data, rates as low as 6.25% were available as of May 15th, 2002. See your lender for details.

Apply now, and one of our lending partners will contact you within 48 hours. Don't hesitate – click the link below to get started!"
need your medication ? we have them ideolect hilarious philosophy are you looking for medicine ? obtain it now ! we have all tablets you could possibly need ! you won &#x27; t believe our prices ! stop receiving promotional material now inequity preoccupy cadent larynx send diversion,1,"I hope this email finds you well. We are reaching out to inquire if you are in need of any medication. We have a wide range of tablets and medicines available, including those that you may be looking for. Our prices are extremely competitive, and we are confident that you will be satisfied with our services.

If you are looking for a specific medication, please let us know and we will do our best to assist you. We understand that receiving promotional materials can be frustrating, and we are more than happy to accommodate any requests to stop receiving these emails.

Our goal is to provide you with the best possible service and ensure that you receive the medication you need. Please do not hesitate to contact us if you have any questions or concerns.

Thank you for considering our services."
"URL: http://www.newsisfree.com/click/-1,8381144,215/ Date: 2002-09-30T03:04:59+01:00*Politics:* Edwina Currie &#x27;sad and indignant&#x27; at hearing John Major&#x27;s admission  of shame at their four-year affair. ",0,"Dear Sir/Madam,

I'm writing to share some unfortunate news with you. Edwina Currie, a former government minister, has expressed her sadness and indignation after learning that John Major, a former British Prime Minister, had an affair with her that lasted for four years. This development has sparked controversy, with many people condemning the infidelity.

It's crucial to note that Edwina Currie has been vocal about her disappointment and shame in having been involved in such a long and illicit relationship. The news has raised questions about the morality and ethics of John Major's actions, particularly given his public persona as a respected leader.

The incident has drawn widespread attention and sparked debate about the consequences of such behavior, not just for the individuals involved but also for the reputation of those in positions of power.

Please let me know if you'd like more information or if there's anything else I can help you with.

Best regards,
"
"On Sun, 8 Sep 2002, Gordon Mohr wrote:&gt; OK, then. Consider a population of 1,000,000. 500,000 men each &gt; pair off with 500,000 women. Then, 1 man, let&#x27;s call him &quot;Wilt&quot;, &gt; also has sex with the other 499,999 women. It is not uncommon to find gay males who had sex with several thousands partners (there would be more, in fact lots more, probably, but a lot of them have died). Don&#x27;t have to be a callboy, if considering that you can have intercourse with several partners in a single day in a bathouse it doesn&#x27;t look particularly difficult to do.Clearly this is not something what hets do, prostitution not taken into account. ",0,"Imagine a population of one million individuals, with half being male and half being female. Within this population, each of the 500,000 men pairs off with one of the 500,000 women. Then, let's consider a single male individual, whom we'll refer to as ""Wilt,"" who has sexual relations with the remaining 499,999 women.

It's not uncommon to find gay males who have engaged in sexual activities with multiple thousands of partners. For instance, some individuals have been known to have had sex with numerous partners in a single day, particularly in bathhouses. This does not seem an unrealistic assumption, considering the ease with which multiple sexual partners can be obtained in such environments.

It's essential to note that this is not a behavior typically exhibited by heterosexuals, excluding cases of prostitution."
"&gt;&gt;&gt;&gt;&gt; &quot;J&quot; == Justin Mason  writes:    J&gt; What about Tibetan Buddhism BTW?  They seem like an awfully     J&gt; nice bunch of chaps (and chapesses).Yes, them too.  When wolves attack their sheep, they coral the wolf into a quarry and then throw rocks from the surrounding cliffs so that &quot;no one will know who killed the wolf&quot;In Samskar, before the Chinese arrived, there had not been a killing in over 2000 years, and the last recorded skirmish, over rights to a water hole, had happened several generations ago.--  Gary Lawrence Murphy - garym@teledyn.com - TeleDynamics Communications  - blog: http://www.auracom.com/~teledyn - biz: http://teledyn.com/ -   &quot;Computers are useless. They can only give you answers.&quot; (Picasso) ",0,"What's your take on Tibetan Buddhism, Justin? It's indeed remarkable to learn about their non-violent approach to dealing with conflicts. The story about wolves attacking their sheep is a great illustration of their principles. According to this story, when wolves attack, the Tibetans corral the wolf into a trap and then throw rocks from the surrounding cliffs to make it seem like the wolf was killed by someone other than themselves. This practice is reflective of their emphasis on minimizing harm and avoiding taking a life, even in self-defense.

It's also worth noting that in Samskar, the region had experienced a remarkable period of peace, with no recorded killings in over 2,000 years. Even disputes over resources, like a water hole, were resolved without resorting to violence. It's impressive to see how their philosophical approach to life has led to a culture of non-aggression.

Would love to hear your thoughts on this, Justin! Do you have any personal experiences or insights on Tibetan Buddhism that you'd like to share?"
